Date,Sector,Price,Volume,%Change,Volatility
44291,Communication Services,249.75,71.916,-0.000680218,0.004603283
44287,Communication Services,244.2,64.559,-0.022222222,0.015232497
44286,Communication Services,239.28,99.338,-0.02014742,0.001467107
44285,Communication Services,238.32,89.607,-0.004012036,0.011409439
44284,Communication Services,238.61,128.167,0.001216851,0.003697382
44281,Communication Services,236.19,162.24,-0.010142073,0.008031972
44280,Communication Services,237,76.006,0.003429442,0.00959651
44279,Communication Services,237.79,73.959,0.003333333,0.0000679594
44278,Communication Services,241.8,77.259,0.016863619,0.009567357
44277,Communication Services,242.55,75.184,0.003101737,0.00973112
44274,Communication Services,240.71,211.834,-0.007586065,0.007557417
44273,Communication Services,238.8,78.312,-0.007934859,0.000246635
44272,Communication Services,243.57,72.009,0.019974874,0.019735162
44271,Communication Services,243.04,68.443,-0.002175966,0.015663009
44270,Communication Services,240.79,56.108,-0.009257735,0.005007567
44267,Communication Services,239.41,78.274,-0.005731135,0.002493683
44266,Communication Services,241.59,73.093,0.009105718,0.01049124
44265,Communication Services,237.4,75.696,-0.017343433,0.018702374
44264,Communication Services,236.41,83.356,-0.004170177,0.009314899
44263,Communication Services,234.25,77.177,-0.009136669,0.00351184
44260,Communication Services,237.73,78.906,0.014855923,0.016965325
44259,Communication Services,232.22,81.531,-0.023177554,0.02689373
44258,Communication Services,232.14,77.167,-0.000344501,0.016145407
44257,Communication Services,235.89,65.046,0.016154045,0.011666234
44256,Communication Services,237.54,63.711,0.006994786,0.006476574
44253,Communication Services,232.08,92.267,-0.022985602,0.021199336
44252,Communication Services,232.01,79.352,-0.00030162,0.016039998
44251,Communication Services,238.11,65.058,0.02629197,0.018804508
44250,Communication Services,237.06,82.436,-0.004409727,0.021709378
44249,Communication Services,234.59,66.362,-0.010419303,0.004249412
44246,Communication Services,235.36,65.601,0.003282322,0.009688512
44245,Communication Services,237.9,54.013,0.010791978,0.005310129
44244,Communication Services,239.7,53.384,0.007566204,0.002280967
44243,Communication Services,238.55,51.846,-0.004797664,0.008742575
44239,Communication Services,237.55,44.424,-0.004191993,0.000428274
44238,Communication Services,237.39,48.928,-0.000673542,0.00248792
44237,Communication Services,237.3,62.821,-0.000379123,0.000208186
44236,Communication Services,235.82,54.746,-0.006236831,0.004142025
44235,Communication Services,235.33,56.476,-0.002077856,0.002940839
44232,Communication Services,234.43,55.059,-0.003824417,0.001235005
44231,Communication Services,232.22,57.795,-0.009427121,0.00396171
44230,Communication Services,230.85,62.766,-0.005899578,0.00249435
44229,Communication Services,226.18,59.744,-0.020229586,0.010132846
44228,Communication Services,222.62,65.099,-0.015739676,0.003174846
44225,Communication Services,218.57,101.13,-0.018192436,0.001734363
44224,Communication Services,222.78,95.04,0.019261564,0.026483977
44223,Communication Services,220.03,125.558,-0.012344017,0.02234852
44222,Communication Services,228.77,74.795,0.039721856,0.036816132
44221,Communication Services,226.98,66.615,-0.007824453,0.033620317
44218,Communication Services,226.14,56.266,-0.003700767,0.002915886
44217,Communication Services,225.88,57.18,-0.00114973,0.001803855
44216,Communication Services,225.3,66.214,-0.002567735,0.001002681
44215,Communication Services,217.44,70.033,-0.034886818,0.022853042
44211,Communication Services,213.44,75.112,-0.018395879,0.011660854
44210,Communication Services,213.12,75.186,-0.00149925,0.011947721
44209,Communication Services,214.91,55.843,0.008399024,0.006999137
44208,Communication Services,214.15,62.67,-0.003536364,0.008439594
44207,Communication Services,217.41,59.75,0.015222975,0.013264856
44204,Communication Services,221.32,63.056,0.017984453,0.00195266
44203,Communication Services,220.77,67.514,-0.002485089,0.014474153
44202,Communication Services,217.72,71.5,-0.013815283,0.008011657
44201,Communication Services,219.17,54.893,0.00665993,0.014478162
44200,Communication Services,218.58,71.16,-0.002691974,0.006612795
44196,Communication Services,221.92,42.753,0.015280447,0.012708421
44195,Communication Services,219.79,34.805,-0.009598053,0.017591756
44194,Communication Services,221.42,39.199,0.00741617,0.012030873
44193,Communication Services,221.75,45.439,0.00149038,0.004190166
44189,Communication Services,217.7,20.299,-0.018263811,0.013968322
44188,Communication Services,217.36,45.316,-0.001561782,0.011810117
44187,Communication Services,216.44,55.354,-0.004232609,0.00188856
44186,Communication Services,218.61,73.671,0.010025873,0.01008227
44183,Communication Services,220.2,167.324,0.007273226,0.001946415
44182,Communication Services,220.47,57.872,0.001226158,0.004275923
44181,Communication Services,221.16,61.62,0.003129678,0.001345992
44180,Communication Services,221.55,55.763,0.001763429,0.000966083
44179,Communication Services,220,70.706,-0.006996163,0.006193967
44176,Communication Services,221.22,54.043,0.005545455,0.008868263
44175,Communication Services,218.71,57.655,-0.011346171,0.011944183
44174,Communication Services,219.42,66.225,0.003246308,0.010318441
44173,Communication Services,222.09,53.504,0.012168444,0.006308903
